Id,Dificultad,Titulo,Artistia
0,3.0,Nothing Else Matters,Metallica
1,3.0,Fade To Black,Metallica
2,5.0,Master Of Puppets,Metallica
3,3.0,One,Metallica
4,3.0,Sweet Child O' Mine,Guns N' Roses
5,3.0,Back In Black,AC/DC
6,2.0,Enter Sandman,Metallica
7,4.0,Crazy Train,Ozzy Osbourne
8,3.0,Seek & Destroy,Metallica
9,2.0,Californication,Red Hot Chili Peppers
10,3.0,The Unforgiven,Metallica
11,4.0,Tornado Of Souls,Megadeth
12,3.0,Paranoid,Black Sabbath
13,2.0,Come As You Are,Nirvana
14,5.0,Holy Wars... The Punishment Due,Megadeth
15,4.0,The Trooper,Iron Maiden
16,2.0,Smells Like Teen Spirit,Nirvana
17,2.0,Hotel California,The Eagles
18,3.0,Under The Bridge,Red Hot Chili Peppers
19,2.0,For Whom The Bell Tolls,Metallica
20,3.0,Orion,Metallica
21,4.0,Johnny B. Goode,Chuck Berry
22,3.0,Killing In The Name,Rage Against The Machine
23,4.0,Bohemian Rhapsody,Queen
24,5.0,Sultans Of Swing,Dire Straits
25,3.0,I WANNA BE YOUR SLAVE,Maneskin
26,1.0,Seven Nation Army Edit,The White Stripes
27,3.0,Wherever I May Roam,Metallica
28,3.0,War Pigs,Black Sabbath
29,2.0,Wish You Were Here,Pink Floyd
30,2.0,Fear Of The Dark,Iron Maiden
31,4.0,Creep,Radiohead
32,3.0,Roundabout,Yes
33,2.0,Symphony Of Destruction,Megadeth
34,3.0,Iron Man,Black Sabbath
35,2.0,Fly Me To The Moon (Fingerstyle Guitar),Frank Sinatra
36,3.0,ZITTI E BUONI,Maneskin
37,3.0,Can't Stop,Red Hot Chili Peppers
38,5.0,Thunderstruck,AC/DC
39,3.0,Sad But True,Metallica
40,2.0,Welcome Home (Sanitarium),Metallica
41,3.0,Buried Alive,Avenged Sevenfold
42,2.0,Heart Shaped Box,Nirvana
43,2.0,Tears In Heaven,Eric Clapton
44,3.0,Comfortably Numb,Pink Floyd
45,3.0,Cowboys From Hell,Pantera
46,2.0,Psychosocial,Slipknot
47,3.0,Sweet Home Alabama,Lynyrd Skynyrd
48,5.0,Ride The Lightning,Metallica
